Package,Version,URL,Status,Bloom Log,Build Log,Deb File,Installed Files
setup_files,0-2024.12.03.16.49,https://github.com/v4hn/setup_files/tree/main,success,setup_files_0-2024.12.03.16.49-bloom_generate.log,ros-one-setup-files_0-2024.12.03.16.49_amd64-2024-12-03T16:49:58Z.build,ros-one-setup-files_0-2024.12.03.16.49_amd64.deb,ros-one-setup-files_0-2024.12.03.16.49_amd64.files
ros_environment,1.3.2-5-g2686e94-2024.12.03.16.50,https://github.com/ros-o/ros_environment/tree/debian,success,ros_environment_1.3.2-5-g2686e94-2024.12.03.16.50-bloom_generate.log,ros-one-ros-environment_1.3.2-5-g2686e94-2024.12.03.16.50_amd64-2024-12-03T16:50:33Z.build,ros-one-ros-environment_1.3.2-5-g2686e94-2024.12.03.16.50_amd64.deb,ros-one-ros-environment_1.3.2-5-g2686e94-2024.12.03.16.50_amd64.files
cpp_common,0.7.3-3-gcae00b4-2024.12.03.16.53,https://github.com/ros-o/roscpp_core/tree/obese-devel,success,cpp_common_0.7.3-3-gcae00b4-2024.12.03.16.53-bloom_generate.log,ros-one-cpp-common_0.7.3-3-gcae00b4-2024.12.03.16.53_amd64-2024-12-03T16:53:17Z.build,ros-one-cpp-common_0.7.3-3-gcae00b4-2024.12.03.16.53_amd64.deb,ros-one-cpp-common_0.7.3-3-gcae00b4-2024.12.03.16.53_amd64.files
roscpp_core,0.7.3-3-gcae00b4-2024.12.03.16.53,https://github.com/ros-o/roscpp_core/tree/obese-devel,success,roscpp_core_0.7.3-3-gcae00b4-2024.12.03.16.53-bloom_generate.log,ros-one-roscpp-core_0.7.3-3-gcae00b4-2024.12.03.16.53_amd64-2024-12-03T16:53:57Z.build,ros-one-roscpp-core_0.7.3-3-gcae00b4-2024.12.03.16.53_amd64.deb,ros-one-roscpp-core_0.7.3-3-gcae00b4-2024.12.03.16.53_amd64.files
roscpp_traits,0.7.3-3-gcae00b4-2024.12.03.16.54,https://github.com/ros-o/roscpp_core/tree/obese-devel,success,roscpp_traits_0.7.3-3-gcae00b4-2024.12.03.16.54-bloom_generate.log,ros-one-roscpp-traits_0.7.3-3-gcae00b4-2024.12.03.16.54_amd64-2024-12-03T16:54:33Z.build,ros-one-roscpp-traits_0.7.3-3-gcae00b4-2024.12.03.16.54_amd64.deb,ros-one-roscpp-traits_0.7.3-3-gcae00b4-2024.12.03.16.54_amd64.files
rostime,0.7.3-3-gcae00b4-2024.12.03.16.55,https://github.com/ros-o/roscpp_core/tree/obese-devel,success,rostime_0.7.3-3-gcae00b4-2024.12.03.16.55-bloom_generate.log,ros-one-rostime_0.7.3-3-gcae00b4-2024.12.03.16.55_amd64-2024-12-03T16:55:15Z.build,ros-one-rostime_0.7.3-3-gcae00b4-2024.12.03.16.55_amd64.deb,ros-one-rostime_0.7.3-3-gcae00b4-2024.12.03.16.55_amd64.files
roscpp_serialization,0.7.3-3-gcae00b4-2024.12.03.16.55,https://github.com/ros-o/roscpp_core/tree/obese-devel,success,roscpp_serialization_0.7.3-3-gcae00b4-2024.12.03.16.55-bloom_generate.log,ros-one-roscpp-serialization_0.7.3-3-gcae00b4-2024.12.03.16.55_amd64-2024-12-03T16:56:00Z.build,ros-one-roscpp-serialization_0.7.3-3-gcae00b4-2024.12.03.16.55_amd64.deb,ros-one-roscpp-serialization_0.7.3-3-gcae00b4-2024.12.03.16.55_amd64.files
cmake_modules,0.5.0-3-g05347c1-2024.12.03.16.52,https://github.com/ros/cmake_modules/tree/0.5-devel,success,cmake_modules_0.5.0-3-g05347c1-2024.12.03.16.52-bloom_generate.log,ros-one-cmake-modules_0.5.0-3-g05347c1-2024.12.03.16.52_amd64-2024-12-03T16:52:58Z.build,ros-one-cmake-modules_0.5.0-3-g05347c1-2024.12.03.16.52_amd64.deb,ros-one-cmake-modules_0.5.0-3-g05347c1-2024.12.03.16.52_amd64.files
genmsg,0.5.16-1-g7d8b6ce-2024.12.03.16.53,https://github.com/ros/genmsg/tree/kinetic-devel,success,genmsg_0.5.16-1-g7d8b6ce-2024.12.03.16.53-bloom_generate.log,ros-one-genmsg_0.5.16-1-g7d8b6ce-2024.12.03.16.53_amd64-2024-12-03T16:53:31Z.build,ros-one-genmsg_0.5.16-1-g7d8b6ce-2024.12.03.16.53_amd64.deb,ros-one-genmsg_0.5.16-1-g7d8b6ce-2024.12.03.16.53_amd64.files
rosbag_migration_rule,1.0.1-1-g2269b62-2024.12.03.16.54,https://github.com/ros/rosbag_migration_rule/tree/master,success,rosbag_migration_rule_1.0.1-1-g2269b62-2024.12.03.16.54-bloom_generate.log,ros-one-rosbag-migration-rule_1.0.1-1-g2269b62-2024.12.03.16.54_amd64-2024-12-03T16:54:04Z.build,ros-one-rosbag-migration-rule_1.0.1-1-g2269b62-2024.12.03.16.54_amd64.deb,ros-one-rosbag-migration-rule_1.0.1-1-g2269b62-2024.12.03.16.54_amd64.files
rospack,2.6.2-2-gad85a87-2024.12.03.16.58,https://github.com/ros/rospack/tree/noetic-devel,success,rospack_2.6.2-2-gad85a87-2024.12.03.16.58-bloom_generate.log,ros-one-rospack_2.6.2-2-gad85a87-2024.12.03.16.58_amd64-2024-12-03T16:58:50Z.build,ros-one-rospack_2.6.2-2-gad85a87-2024.12.03.16.58_amd64.deb,ros-one-rospack_2.6.2-2-gad85a87-2024.12.03.16.58_amd64.files
geneus,3.0.0-2024.12.03.16.58,https://github.com/jsk-ros-pkg/geneus/tree/master,success,geneus_3.0.0-2024.12.03.16.58-bloom_generate.log,ros-one-geneus_3.0.0-2024.12.03.16.58_amd64-2024-12-03T16:58:49Z.build,ros-one-geneus_3.0.0-2024.12.03.16.58_amd64.deb,ros-one-geneus_3.0.0-2024.12.03.16.58_amd64.files
gennodejs,2.0.1-8-g19d224c-2024.12.03.16.58,https://github.com/RethinkRobotics-opensource/gennodejs/tree/kinetic-devel,success,gennodejs_2.0.1-8-g19d224c-2024.12.03.16.58-bloom_generate.log,ros-one-gennodejs_2.0.1-8-g19d224c-2024.12.03.16.58_amd64-2024-12-03T16:58:39Z.build,ros-one-gennodejs_2.0.1-8-g19d224c-2024.12.03.16.58_amd64.deb,ros-one-gennodejs_2.0.1-8-g19d224c-2024.12.03.16.58_amd64.files
